Invalid user data: edward@jikes@com.au | Edward  | Jikes
Invalid user data: phil@open.edu.au   | Phil  | Carry   
Invalid user data: ham@seek.com | Hamish | Jones	
Invalid user data: sam!@walters.org	 | Sam!!   | Walters
Invalid user data: edward@jikes@com.au | Edward  | Jikes
Invalid user data: phil@open.edu.au   | Phil  | Carry   
Invalid user data: ham@seek.com | Hamish | Jones	
Invalid user data: sam!@walters.org	 | Sam!!   | Walters
Invalid user data: edward@jikes@com.au | Edward  | Jikes
Invalid user data: phil@open.edu.au   | Phil  | Carry   
Invalid user data: ham@seek.com | Hamish | Jones	
Invalid user data: sam!@walters.org	 | Sam!!   | Walters
Invalid user data: edward@jikes@com.au | Edward  | Jikes
Invalid user data: phil@open.edu.au   | Phil  | Carry   
Invalid user data: ham@seek.com | Hamish | Jones	
Invalid user data: sam!@walters.org	 | Sam!!   | Walters
Invalid user data: edward@jikes@com.au | Edward  | Jikes
Invalid user data: phil@open.edu.au   | Phil  | Carry   
Invalid user data: ham@seek.com | Hamish | Jones	
Invalid user data: sam!@walters.org	 | Sam!!   | Walters
Invalid user data: edward@jikes@com.au | Edward  | Jikes
Invalid user data: phil@open.edu.au   | Phil- | Carry---
Invalid user data: sam!@walters.org	 | Sam-- | Walters
Invalid user data: edward@jikes@com.au | Edward- | Jikes
Invalid user data: phil@open.edu.au   | Phil- | Carry---
Invalid user data: sam!@walters.org	 | Sam-- | Walters
Invalid user data: edward@jikes@com.au | Edward- | Jikes
Invalid user data: phil@open.edu.au   | Phil- | Carry---
Invalid user data: sam!@walters.org	 | Sam-- | Walters
Invalid user data: edward@jikes@com.au | Edward- | Jikes
Invalid user data: phil@open.edu.au   | Phil  | Carry   
Invalid user data: sam!@walters.org	 | Sam-- | Walters
Invalid user data: edward@jikes@com.au | Edward  | Jikes
Invalid user data: phil@open.edu.au   | Phil  | Carry   
Invalid user data: sam!@walters.org	 | Sam | Walters
Invalid user data: edward@jikes@com.au | Edward  | Jikes
Invalid user data: phil@open.edu.au   | Phil  | Carry   
Invalid user data: sam!@walters.org	 | Sam---- | Walters
Invalid user data: edward@jikes@com.au | Edward  | Jikes
Invalid user data: phil@open.edu.au   | Phil  | Carry   
Invalid user data: sam!@walters.org	 | Sam---- | Walters
Invalid user data: edward@jikes@com.au | Edward  | Jikes
Invalid user data: phil@open.edu.au   | Phil | Carry
Invalid user data: sam!@walters.org	 | Sam | Walters
Invalid user data: edward@jikes@com.au | Edward | Jikes
Invalid user data: phil@open.edu.au   | Phil | Carry
Invalid user data: sam!@walters.org	 | Sam | Walters
Invalid user data: edward@jikes@com.au | Edward | Jikes
Invalid user data: edward@jikes@com.au | Edward | Jikes
Invalid user data: edward@jikes@com.au | Edward | Jikes
Invalid user data: edward@jikes@com.au | Edward | Jikes
Invalid user data: edward@jikes@com.au | Edward | Jikes
